gene	crak_gene	clade	subclade
MM.2017braw_25972117	CK_Syn_RS9916_31742	IX	IX
MM.2017braw_30412009	CK_Syn_RS9902_00199	II	IIa
MM.2017braw_64740828	CK_Syn_SYN20_02186	I	Ib
MM.2017braw_67812942	CK_Syn_MINOS11_01458	5.3	5.3
MM.2017braw_6959473	MO_Syn_HBA1120_01962		
MM.2017braw_72408809	CK_Syn_MVIR-18-1_00132	I	Ib
MM.2017braw_95496399	CK_Syn_RCC307_01649	5.3	5.3
MM.2017braw_108773124	CK_Syn_KORDI-52_11980	II	IIa
MM.2017braw_109317315	CK_Syn_WH8102_01170	III	IIIa
MM.2017braw_112270375	CK_Syn_A15-62_00114	II	IIc
MM.2017braw_125069840	CK_Syn_CC9902_01363	IV	IVa
MM.2017braw_134694430	CK_Syn_RCC307_01649	5.3	5.3
MM.2017braw_16266774	CK_Syn_WH8109_00201	II	IIa
MM.2017braw_185350994	CK_Syn_PROS-9-1_01694	I	Ib
MM.2017braw_187105519	CK_Syn_A15-44_00200	II	IIa
MM.2017braw_201195991	CK_Syn_TAK9802_00475	II	IIa
MM.2017braw_24756765	CK_Syn_CC9616_01793	EnvC	EnvC
MM.2017braw_42565384	CK_Syn_M16.1_00127	II	IIa
MM.2017braw_43297888	CK_Syn_RS9916_38157	IX	IX
MM.2017braw_80566937	CK_Syn_A15-44_00114	II	IIa
MM.2017braw_86904384	CK_Syn_MINOS11_00116	5.3	5.3
MM.2017braw_99314450	CK_Syn_KORDI-49_16370	WPC1	WPC1
MM.2017braw_121329948	CK_Syn_RS9902_02897	II	IIa
MM.2017braw_16382617	CK_Syn_BIOS-E4-1_01371	CRD1	CRD1b
MM.2017braw_164509193	CK_Syn_RS9916_37432	IX	IX
MM.2017braw_167421514	CK_Syn_MEDNS5_00374	VI	VIa
MM.2017braw_26852597	CK_Syn_CC9902_01363	IV	IVa
MM.2017braw_41501685	CK_Syn_TAK9802_01997	II	IIa
MM.2017braw_49438933	CK_Syn_CB0205_01997	5.2	5.2A
MM.2017braw_58905783	CK_Syn_NOUM97013_01113	VII	VIIb
MM.2017braw_71526247	CK_Syn_RCC307_01614	5.3	5.3
MM.2017braw_76274287	CK_Syn_BL107_12765	IV	IVa
MM.2017braw_87724626	CK_Syn_PROS-9-1_01478	I	Ib
MM.2017braw_105254274	CK_Syn_RS9907_00192	II	IIa
MM.2017braw_141720820	CK_Syn_WH8109_26319	II	IIa
MM.2017braw_14218307	CK_Syn_RCC307_00220	5.3	5.3
MM.2017braw_143325082	CK_Syn_TAK9802_01392	II	IIa
MM.2017braw_173997286	CK_Syn_M16.1_00315	II	IIa
MM.2017braw_175229628	CK_Syn_KORDI-49_15910	WPC1	WPC1
MM.2017braw_18419356	CK_Syn_A15-44_01590	II	IIa
MM.2017braw_197625108	CK_Syn_NOUM97013_01709	VII	VIIb
MM.2017braw_30117425	CK_Syn_M16.1_00127	II	IIa
MM.2017braw_72651459	CK_Syn_A15-127_01363	WPC1	WPC1
MM.2017braw_122462480	CK_Syn_M16.1_01353	II	IIa
MM.2017braw_125199181	MO_Syn_PH41509_00676		
MM.2017braw_128393089	CK_Syn_PROS-9-1_00933	I	Ib
MM.2017braw_129528188	CK_Syn_CC9311_01545	I	Ia
MM.2017braw_143116882	CK_Syn_MVIR-18-1_309115	I	Ib
MM.2017braw_153466729	CK_Syn_A15-62_01661	II	IIc
MM.2017braw_155236597	CK_Syn_CC9902_01363	IV	IVa
MM.2017braw_157222120	CK_Syn_WH8109_00330	II	IIa
MM.2017braw_161405586	CK_Syn_PROS-U-1_31128	II	IIh
MM.2017braw_26988136	MO_Syn_PH41509_02126		
MM.2017braw_31831399	CK_Syn_PROS-U-1_00762	II	IIh
MM.2017braw_3788406	CK_Syn_TAK9802_00463	II	IIa
MM.2017braw_50451262	CK_Syn_M16.1_01100	II	IIa
MM.2017braw_60750982	CK_Syn_RCC307_01633	5.3	5.3
MM.2017braw_60991551	CK_Syn_BL107_08284	IV	IVa
MM.2017braw_62319397	CK_Syn_BL107_15555	IV	IVa
MM.2017braw_85182444	CK_Syn_KORDI-52_26680	II	IIa
MM.2017braw_87326622	CK_Syn_WH8020_00145	I	Ia
MM.2017braw_115612667	CK_Syn_A18-46.1_02102	III	IIIa
MM.2017braw_134315605	CK_Syn_KORDI-100_07510	UC-A	UC-A
MM.2017braw_136940269	CK_Syn_WH8109_00330	II	IIa
MM.2017braw_181227394	CK_Syn_RS9902_00199	II	IIa
MM.2017braw_185991879	CK_Syn_PROS-U-1_00762	II	IIh
MM.2017braw_43374547	CK_Syn_M16.1_00315	II	IIa
MM.2017braw_59200791	CK_Syn_RCC307_01633	5.3	5.3
MM.2017braw_64575775	CK_Syn_BL107_12765	IV	IVa
MM.2017braw_80096940	CK_Syn_WH8016_00863	I	Ib
MM.2017braw_106765349	CK_Syn_TAK9802_01068	II	IIa
MM.2017braw_109827978	CK_Syn_PROS-U-1_01326	II	IIh
MM.2017braw_156841279	CK_Syn_RS9902_01569	II	IIa
MM.2017braw_172073983	CK_Syn_A15-127_02032	WPC1	WPC1
MM.2017braw_184429409	CK_Syn_RS9915_00134	III	IIIa
MM.2017braw_1885197	CK_Syn_A15-44_00200	II	IIa
MM.2017braw_190515935	CK_Syn_A15-62_00230	II	IIc
MM.2017braw_52210005	CK_Syn_PROS-9-1_01490	I	Ib
MM.2017braw_67871037	CK_Syn_CC9311_01499	I	Ia
MM.2017braw_67937235	CK_Syn_MVIR-18-1_00443	I	Ib
MM.2017braw_95256191	CK_Syn_PROS-U-1_00191	II	IIh
MM.2017braw_107578643	CK_Syn_TAK9802_01392	II	IIa
MM.2017braw_119533337	CK_Syn_CC9902_01363	IV	IVa
MM.2017braw_121050266	CK_Syn_RCC307_01649	5.3	5.3
MM.2017braw_143428928	CK_Syn_A15-28_01357	III	IIIb
MM.2017braw_169028281	CK_Syn_M16.1_01353	II	IIa
MM.2017braw_182466334	CK_Syn_WH8102_01797	III	IIIa
MM.2017braw_183163942	CK_Syn_TAK9802_01533	II	IIa
MM.2017braw_2833127	CK_Syn_MINOS11_01763	5.3	5.3
MM.2017braw_28505976	CK_Syn_RS9902_02897	II	IIa
MM.2017braw_38046899	CK_Syn_RS9916_28369	IX	IX
MM.2017braw_39530175	CK_Syn_BL107_13335	IV	IVa
MM.2017braw_53544066	CK_Syn_TAK9802_01068	II	IIa
MM.2017braw_68806941	MO_Syn_PH41509_02126		
MM.2017braw_74783783	CK_Syn_MINOS11_01472	5.3	5.3
MM.2017braw_74815959	CK_Syn_RCC307_00721	5.3	5.3
MM.2017braw_75520038	CK_Syn_MVIR-18-1_03000	I	Ib
MM.2017braw_90218522	CK_Syn_A15-44_01137	II	IIa
MM.2017braw_103265479	CK_Syn_TAK9802_01043	II	IIa
MM.2017braw_106326970	CK_Syn_A15-127_02032	WPC1	WPC1
MM.2017braw_130052983	CK_Syn_MINOS11_01731	5.3	5.3
MM.2017braw_141120158	CK_Syn_KORDI-49_03490	WPC1	WPC1
MM.2017braw_176856830	CK_Syn_CC9311_01758	I	Ia
MM.2017braw_178188032	CK_Syn_WH8109_00201	II	IIa
MM.2017braw_187307226	CK_Syn_WH8016_02008	I	Ib
MM.2017braw_190662350	CK_Syn_KORDI-49_06830	WPC1	WPC1
MM.2017braw_196220913	CK_Syn_KORDI-100_29890	UC-A	UC-A
MM.2017braw_22908476	CK_Syn_TAK9802_00463	II	IIa
MM.2017braw_38209689	CK_Syn_KORDI-52_11990	II	IIa
MM.2017braw_49127399	CK_Syn_RS9902_01569	II	IIa
MM.2017braw_60111075	CK_Syn_MVIR-18-1_309115	I	Ib
MM.2017braw_6860962	CK_Syn_KORDI-52_17190	II	IIa
MM.2017braw_109657012	CK_Syn_MINOS11_00116	5.3	5.3
MM.2017braw_145314641	CK_Syn_CC9605_01604	II	IIc
MM.2017braw_173871612	CK_Syn_WH8103_01109	III	IIIa
MM.2017braw_174109084	CK_Syn_WH8109_01056	II	IIa
MM.2017braw_185023684	CK_Syn_MINOS11_00786	5.3	5.3
MM.2017braw_32283533	CK_Syn_KORDI-49_03390	WPC1	WPC1
MM.2017braw_34623004	CK_Syn_PROS-U-1_02396	II	IIh
MM.2017braw_52209691	CK_Syn_A18-40_02844	III	IIIa
MM.2017braw_73678111	CK_Syn_CC9616_01766	EnvC	EnvC
MM.2017braw_89860555	CK_Syn_RS9907_00589	II	IIa
MM.2017braw_91379618	CK_Syn_RS9915_02236	III	IIIa
MM.2017braw_106368280	CK_Syn_RCC307_02186	5.3	5.3
MM.2017braw_119591177	CK_Syn_RS9915_01539	III	IIIa
MM.2017braw_130032244	CK_Syn_MVIR-18-1_01902	I	Ib
MM.2017braw_156370376	CK_Syn_PROS-9-1_00270	I	Ib
MM.2017braw_177579404	CK_Syn_BOUM118_01063	III	IIIa
MM.2017braw_19131842	CK_Syn_CC9605_01488	II	IIc
MM.2017braw_195504480	CK_Syn_KORDI-49_01210	WPC1	WPC1
MM.2017braw_21968589	CK_Syn_RCC307_00112	5.3	5.3
MM.2017braw_42469007	CK_Syn_WH8020_02995	I	Ia
MM.2017braw_43025852	CK_Syn_WH8103_01313	III	IIIa
MM.2017braw_53338406	CK_Syn_WH8020_03062	I	Ia
MM.2017braw_60473121	CK_Syn_KORDI-52_11540	II	IIa
MM.2017braw_67232098	CK_Syn_SYN20_00327	I	Ib
MM.2017braw_68448731	CK_Syn_M16.1_01353	II	IIa
MM.2017braw_94297215	CK_Syn_MVIR-18-1_00132	I	Ib
MM.2017braw_106909385	CK_Syn_RS9907_01253	II	IIa
MM.2017braw_112826333	CK_Syn_A15-28_01980	III	IIIb
MM.2017braw_134251407	CK_Syn_RS9907_00192	II	IIa
MM.2017braw_136759704	CK_Syn_A15-62_00230	II	IIc
MM.2017braw_14461860	CK_Syn_RS9907_00111	II	IIa
MM.2017braw_166850447	CK_Syn_KORDI-100_16230	UC-A	UC-A
MM.2017braw_186361745	CK_Syn_M16.1_01584	II	IIa
MM.2017braw_20777761	CK_Syn_KORDI-49_01210	WPC1	WPC1
MM.2017braw_31778245	CK_Syn_ROS8604_03512	I	Ib
MM.2017braw_61127515	MO_Syn_PH41509_01676		
MM.2017braw_63745828	CK_Syn_PROS-U-1_01357	II	IIh
MM.2017braw_92839417	CK_Syn_PROS-U-1_02396	II	IIh
MM.2017braw_124464417	CK_Syn_BL107_08369	IV	IVa
MM.2017braw_149371218	CK_Syn_RS9902_01343	II	IIa
MM.2017braw_154182308	CK_Syn_RCC307_01633	5.3	5.3
MM.2017braw_160544640	CK_Syn_RS9907_00310	II	IIa
MM.2017braw_175280059	CK_Syn_KORDI-49_26500	WPC1	WPC1
MM.2017braw_84828675	CK_Syn_A15-62_01524	II	IIc
MM.2017braw_85241335	CK_Syn_KORDI-49_06830	WPC1	WPC1
MM.2017braw_42872237	CK_Syn_BL107_05464	IV	IVa
MM.2017braw_99453422	CK_Syn_RS9915_02111	III	IIIa
MM.2017braw_130395426	CK_Syn_MINOS11_00786	5.3	5.3
MM.2017braw_157353857	CK_Syn_RS9916_38157	IX	IX
MM.2017braw_50981352	MO_Syn_HBA1120_01962		
MM.2017braw_63225789	CK_Syn_TAK9802_01043	II	IIa
MM.2017braw_65007732	CK_Syn_BL107_06034	IV	IVa
MM.2017braw_82928283	CK_Syn_CC9902_01010	IV	IVa
MM.2017braw_110903415	CK_Syn_RS9907_01655	II	IIa
MM.2017braw_112104859	CK_Syn_RS9907_00111	II	IIa
MM.2017braw_138024191	CK_Syn_SYN20_00327	I	Ib
MM.2017braw_158197760	MO_Syn_HBP1109_00044		
MM.2017braw_17136273	CK_Syn_BL107_13895	IV	IVa
MM.2017braw_194519808	CK_Syn_MINOS11_01555	5.3	5.3
MM.2017braw_53058003	CK_Syn_WH8020_00964	I	Ia
MM.2017braw_82854607	CK_Syn_BL107_12275	IV	IVa
MM.2017braw_111670193	CK_Syn_RS9902_00111	II	IIa
MM.2017braw_144759545	CK_Syn_CC9616_03211	EnvC	EnvC
MM.2017braw_199197870	CK_Syn_A15-44_02245	II	IIa
MM.2017braw_92954666	CK_Syn_MINOS11_01472	5.3	5.3
MM.2017braw_93727968	CK_Syn_PROS-U-1_00279	II	IIh
MM.2017braw_96365149	CK_Syn_CC9902_01010	IV	IVa
MM.2017braw_112416902	CK_Syn_RS9902_00199	II	IIa
MM.2017braw_136040632	CK_Syn_M16.1_00197	II	IIa
MM.2017braw_43055548	CK_Syn_M16.1_01584	II	IIa
MM.2017braw_67341786	CK_Syn_WH8020_00964	I	Ia
MM.2017braw_90091005	CK_Syn_PROS-U-1_01357	II	IIh
MM.2017braw_134298560	CK_Syn_WH8103_02896	III	IIIa
MM.2017braw_142685154	CK_Syn_A15-62_00360	II	IIc
MM.2017braw_39765629	CK_Syn_BL107_06034	IV	IVa
MM.2017braw_53497640	CK_Syn_BL107_08369	IV	IVa
MM.2017braw_66337975	CK_Syn_A15-24_01966	III	IIIa
MM.2017braw_96890774	CK_Syn_KORDI-49_01210	WPC1	WPC1
MM.2017braw_144682522	CK_Syn_TAK9802_02630	II	IIa
MM.2017braw_156137342	CK_Syn_A15-62_00114	II	IIc
MM.2017braw_158718025	CK_Syn_PROS-9-1_00270	I	Ib
MM.2017braw_28386541	CK_Syn_TAK9802_01270	II	IIa
MM.2017braw_48058695	CK_Syn_M16.1_00197	II	IIa
MM.2017braw_90214781	CK_Syn_PROS-9-1_02841	I	Ib
MM.2017braw_112809575	CK_Syn_WH8102_01815	III	IIIa
MM.2017braw_113998608	CK_Syn_RS9907_00192	II	IIa
MM.2017braw_119546099	CK_Syn_RCC307_02186	5.3	5.3
MM.2017braw_155902363	CK_Syn_CC9616_01766	EnvC	EnvC
MM.2017braw_188161174	CK_Syn_WH8102_01917	III	IIIa
MM.2017braw_63157089	CK_Syn_WH8109_01394	II	IIa
MM.2017braw_113259953	MO_Syn_HBP1109_02271		
MM.2017braw_115616572	CK_Syn_PROS-U-1_01356	II	IIh
MM.2017braw_122815152	CK_Syn_TAK9802_01068	II	IIa
MM.2017braw_153317071	CK_Syn_TAK9802_01533	II	IIa
MM.2017braw_156975862	CK_Syn_KORDI-49_16370	WPC1	WPC1
MM.2017braw_160200574	CK_Syn_RS9907_00589	II	IIa
MM.2017braw_168791168	CK_Syn_WH8020_01599	I	Ia
MM.2017braw_54770005	CK_Syn_TAK9802_01997	II	IIa
MM.2017braw_61232122	CK_Syn_RS9902_02517	II	IIa
MM.2017braw_67764202	CK_Syn_MVIR-18-1_01532	I	Ib
MM.2017braw_84891380	CK_Syn_RS9902_00326	II	IIa
MM.2017braw_94280506	CK_Syn_CC9311_02776	I	Ia
MM.2017braw_135801908	CK_Syn_RCC307_01633	5.3	5.3
MM.2017braw_163553237	CK_Syn_RS9907_00111	II	IIa
MM.2017braw_195844984	CK_Syn_RCC307_01649	5.3	5.3
MM.2017braw_23395561	CK_Syn_BL107_13895	IV	IVa
MM.2017braw_83949598	CK_Syn_BL107_05464	IV	IVa
MM.2017braw_159875046	CK_Syn_BMK-MC-1_01237	V	V
MM.2017braw_84178237	CK_Syn_A15-62_00230	II	IIc
MM.2017braw_135317699	CK_Syn_ROS8604_00568	I	Ib
MM.2017braw_146472902	CK_Syn_CC9902_02002	IV	IVa
MM.2017braw_196446061	CK_Syn_CC9605_01604	II	IIc
MM.2017braw_19665656	CK_Syn_WH8109_00201	II	IIa
MM.2017braw_198045549	CK_Syn_A15-28_02058	III	IIIb
MM.2017braw_67623828	CK_Syn_CC9605_01959	II	IIc
MM.2017braw_78883466	CK_Syn_CC9902_01313	IV	IVa
MM.2017braw_146443362	CK_Syn_KORDI-49_11570	WPC1	WPC1
MM.2017braw_149820807	CK_Syn_WH8109_02679	II	IIa
MM.2017braw_173274375	CK_Syn_RS9915_02185	III	IIIa
MM.2017braw_173475050	CK_Syn_M16.1_01101	II	IIa
MM.2017braw_31113923	CK_Syn_CC9605_01294	II	IIc
MM.2017braw_91381232	CK_Syn_A15-28_00134	III	IIIb
MM.2017braw_10365107	CK_Syn_RCC307_02454	5.3	5.3
MM.2017braw_139074650	CK_Syn_A15-62_00360	II	IIc
MM.2017braw_182908824	CK_Syn_A15-28_01059	III	IIIb
MM.2017braw_184724891	CK_Syn_M16.1_01353	II	IIa
MM.2017braw_60907636	CK_Syn_WH8020_01849	I	Ia
MM.2017braw_112694141	CK_Syn_WH8102_01111	III	IIIa
MM.2017braw_149107457	CK_Syn_WH8103_01149	III	IIIa
MM.2017braw_150801619	CK_Syn_A15-28_01432	III	IIIb
MM.2017braw_1568891	CK_Syn_WH8103_01149	III	IIIa
MM.2017braw_183237184	CK_Syn_A15-62_00230	II	IIc
MM.2017braw_22095987	CK_Syn_RS9916_37132	IX	IX
MM.2017braw_103582299	CK_Syn_WH8109_01056	II	IIa
MM.2017braw_137050696	CK_Syn_SYN20_01906	I	Ib
MM.2017braw_160470843	CK_Syn_KORDI-100_13730	UC-A	UC-A
MM.2017braw_169313149	CK_Syn_A15-62_00230	II	IIc
MM.2017braw_199533312	CK_Syn_NOUM97013_01113	VII	VIIb
MM.2017braw_6098150	CK_Syn_A15-62_02770	II	IIc
MM.2017braw_102693799	CK_Syn_TAK9802_00117	II	IIa
MM.2017braw_106601341	CK_Syn_KORDI-100_18710	UC-A	UC-A
MM.2017braw_117467420	MO_Syn_PH41509_01676		
MM.2017braw_134034495	CK_Syn_RCC307_01374	5.3	5.3
MM.2017braw_135150606	CK_Syn_A15-62_01661	II	IIc
MM.2017braw_143147865	CK_Syn_CC9902_00235	IV	IVa
MM.2017braw_158624575	CK_Syn_WH8109_26319	II	IIa
MM.2017braw_187091087	CK_Syn_KORDI-100_01890	UC-A	UC-A
MM.2017braw_190741716	CK_Syn_WH8102_02133	III	IIIa
MM.2017braw_31823891	CK_Syn_M16.1_00584	II	IIa
MM.2017braw_112102827	CK_Syn_WH8020_00223	I	Ia
MM.2017braw_143488078	CK_Syn_KORDI-100_30390	UC-A	UC-A
MM.2017braw_5671394	CK_Syn_CC9605_01578	II	IIc
MM.2017braw_77383701	CK_Syn_PROS-9-1_02841	I	Ib
MM.2017braw_144745941	CK_Syn_WH8103_01496	III	IIIa
MM.2017braw_186194299	CK_Syn_WH8109_00201	II	IIa
MM.2017braw_89533127	CK_Syn_BL107_08369	IV	IVa
MM.2017braw_110103190	CK_Syn_KORDI-100_16230	UC-A	UC-A
MM.2017braw_129942005	CK_Syn_MINOS11_00116	5.3	5.3
MM.2017braw_159483546	CK_Syn_A15-62_02103	II	IIc
MM.2017braw_159899008	CK_Syn_RCC307_00721	5.3	5.3
MM.2017braw_178347765	CK_Syn_CC9616_01766	EnvC	EnvC
MM.2017braw_192440724	CK_Syn_WH7805_01487	VI	VIa
MM.2017braw_57634282	CK_Syn_SYN20_03296	I	Ib
MM.2017braw_71182612	CK_Syn_RS9907_01655	II	IIa
MM.2017braw_104775840	CK_Syn_MINOS11_01555	5.3	5.3
MM.2017braw_104962950	CK_Syn_SYN20_02089	I	Ib
MM.2017braw_139071667	CK_Syn_BL107_09776	IV	IVa
MM.2017braw_54725874	CK_Syn_PROS-U-1_01964	II	IIh
MM.2017braw_81341203	CK_Syn_A15-127_00593	WPC1	WPC1
MM.2017braw_115260507	CK_Syn_BL107_09776	IV	IVa
MM.2017braw_146441454	CK_Syn_SYN20_01945	I	Ib
MM.2017braw_149397796	CK_Syn_A15-127_01528	WPC1	WPC1
MM.2017braw_16268920	CK_Syn_TAK9802_00205	II	IIa
MM.2017braw_182990624	CK_Syn_CC9616_03269	EnvC	EnvC
MM.2017braw_68201338	CK_Syn_A15-28_02734	III	IIIb
MM.2017braw_72755500	CK_Syn_NOUM97013_00144	VII	VIIb
MM.2017braw_78929709	CK_Syn_PROS-9-1_00270	I	Ib
MM.2017braw_87756733	CK_Syn_BL107_12275	IV	IVa
MM.2017braw_110744974	CK_Syn_M16.1_01584	II	IIa
MM.2017braw_153774954	CK_Syn_KORDI-49_03390	WPC1	WPC1
MM.2017braw_170489090	CK_Syn_KORDI-49_15910	WPC1	WPC1
MM.2017braw_28712553	CK_Syn_RS9907_01254	II	IIa
